,player_id,player_name,team_name,accuratecrosses,accuratecrossespercentage,accuratefinalthirdpasses,accuratelongballs,accuratelongballspercentage,accuratepasses,accuratepassespercentage,aerialduelswon,aerialduelswonpercentage,age,appearances,assists,bigchancescreated,bigchancesmissed,blockedshots(defensive),blockedshots(offensive),cleansheet(gk),cleansheet(df),clearances,crossesnotclaimed,detailed_positions,dribbledpast,errorleadtogoal,errorleadtoshot,expectedassists,expectedgoals,fouls,goalconversionpercentage,goals,goalsassistssum,goalsconceded,height_cm,inaccuratepasses,interceptions,keypasses,matchesstarted,minutesplayed,offsides,passtoassist,penaltiestaken,penaltyconversion,penaltygoals,position,preferred_foot,rating,redcards,savedshotsfrominsidethebox,saves,shotsontarget,successfuldribbles,successfuldribblespercentage,tackles,totalcross,totalduelswon,totalduelswonpercentage,totallongballs,totalpasses,totalshots,wasfouled,yellowcards,position_new
92,1184545,Jared Gallagher,Balestier Khalsa,9,39.13,118,33,63.46,918,90.09,19,59.38,23,27,2,0,0,5,4,0,1,34,0,"MC, DM",67,0,17,1.1,0.35,42,0,0,2,43,175,101,29,7,20,1926,0,2,0,0,0,D,Right,6.51,0,0,0,0,4,57.14,22,23,102,33.22,52,1019,9,12,3,M
93,1652039,Raoul  Suhaimi,Young Lions,10,24.39,41,15,34.09,393,75.72,19,57.58,19,17,0,2,0,4,1,0,1,22,0,DL,36,0,16,1.17,0.66,10,0,0,0,38,179,126,23,7,13,1340,0,2,0,0,0,D,0,6.46,1,0,0,4,20,68.97,6,41,99,40.74,44,519,11,21,3,D
94,1108290,Shuya Yamashita,Tampines Rovers,0,0,154,73,54.89,2071,93.88,80,65.57,26,30,0,0,2,19,7,0,12,56,0,DC,49,0,19,0.5,2.95,23,3.57,1,1,34,180,135,45,6,30,2700,2,2,0,0,0,D,Right,7.05,0,0,0,9,1,100,9,1,135,45.92,133,2206,28,11,3,D
95,1049165,Stevia Egbus Mikuni,Albirex Niigata Singapore,2,33.33,195,189,62.79,1687,89.35,76,64.96,27,31,1,0,1,24,4,0,6,91,0,DC,44,0,31,0.74,1.87,21,3.85,1,2,70,182,201,57,6,31,2790,1,1,0,0,0,D,Right,6.89,1,0,0,7,8,66.67,5,6,157,46.18,301,1888,26,13,4,D
97,1186220,Syed Firdaus Hassan,Albirex Niigata Singapore,12,48,96,47,51.09,884,88.31,20,50,27,29,1,1,2,14,8,0,1,32,0,MC,58,0,17,0.85,1.4,33,0,0,1,59,173,117,36,6,26,2578,0,0,0,0,0,M,Right,6.61,0,0,0,5,22,73.33,12,25,123,34.94,92,1001,23,31,7,M
98,1983591,Thorsten Takashi Cross,Tanjong Pagar United,8,33.33,0,0,0,67,60.36,2,40,0,10,0,0,0,0,0,0,0,4,0,0,16,0,2,0.63,0.43,1,0,0,0,15,0,44,4,6,4,512,1,1,0,0,0,M,0,6.51,0,0,0,3,12,80,0,24,30,36.14,6,111,5,2,0,M
99,1117361,Junki Kenn Yoshimura,Albirex Niigata Singapore,12,57.14,69,34,68,743,88.35,10,37.04,20,28,1,1,0,7,0,0,4,38,0,RW,95,0,12,0.56,0.09,20,50,1,2,54,175,98,51,6,26,2520,0,1,0,0,0,D,Right,6.42,0,0,0,2,12,60,1,21,106,27.46,50,841,2,20,0,F
100,1186773,Azim Akbar,Tanjong Pagar United,7,50,32,12,33.33,354,78.32,7,31.82,23,22,0,0,0,5,3,0,0,15,0,MC,49,0,13,0.41,0.13,10,0,0,0,38,178,98,22,6,17,1377,0,0,0,0,0,D,Right,6.21,0,0,0,1,7,58.33,2,14,75,28.96,36,452,6,10,3,M
101,116049,Dāvis Ikaunieks,Brunei DPMM FC,1,5.88,20,10,50,226,71.29,13,26.53,31,14,0,1,3,1,7,0,0,4,0,ST,3,0,2,0.62,8.9,4,30.43,14,14,23,185,91,1,5,14,1260,4,1,4,100,4,F,Both,7.57,0,0,0,22,10,66.67,1,17,47,36.43,20,317,46,7,1,F
102,1652075,Amir Syafiz,Young Lions,8,28.57,27,9,42.86,261,72.5,8,29.63,20,26,1,1,1,3,8,0,0,3,0,ST,16,0,6,0.87,4.78,10,16.22,6,7,47,168,99,12,5,15,1556,7,0,0,0,0,F,0,6.72,1,0,0,16,13,52,6,28,74,32.74,21,360,37,24,2,F
